Name,Building,Doc Type
CTY_ConcretePlanterBox-Waterproofing-Ph3_Drawing_20020725.pdf,College Center (D),Dwg-03 AsBuilt/Record
CTY_ConcretePlanterBox-Waterproofing-Ph2_Drawing_20020724.pdf,College Center (D),Dwg-03 AsBuilt/Record
CTY_DiningFacilityRemodel_Drawing_20081219.pdf,College Center (D),Dwg-03 AsBuilt/Record
CTY_KitchenExhaustHoodFan-Dining Facility_Drawing_19960216.pdf,College Center (D),Dwg-03 AsBuilt/Record
CTY_DiningFacility-OfficeRemodel_AsBuilt_19761102.pdf,College Center (D),Dwg-03 AsBuilt/Record
CTY_CollegeCenterDiningFacility-A_AsBuilt_19750114_1of4.pdf,College Center (D),Dwg-03 AsBuilt/Record
CTY_CollegeCenterDiningFacility-K_AsBuilt_19750114_2of4.pdf,College Center (D),Dwg-03 AsBuilt/Record
CTY_CollegeCenterDiningFacility-S_AsBuilt_19750114_3of4.pdf,College Center (D),Dwg-03 AsBuilt/Record
CTY_CollegeCenterDiningFacility-MEP_AsBuilt_19750114_4of4.pdf,College Center (D),Dwg-03 AsBuilt/Record
CTY_CollegeCenterDiningFacility_Drawing_19760413.pdf,College Center (D),Dwg-03 AsBuilt/Record
CTY_ReplaceSewerLine_AsBuilt_20050831.pdf,College Center (D),Dwg-03 AsBuilt/Record
CTY_T208-AirConditioning_Drawing_19970117.pdf,Engineering Technology (T),Dwg-03 AsBuilt/Record
CTY_T104-T105-AirConditioning_Drawing_19950530.pdf,Engineering Technology (T),Dwg-03 AsBuilt/Record
CTY_CACTHighTechnology-IncubatorFacility_Drawing_19940622_2of2.pdf,Migration,Dwg-03 AsBuilt/Record
CTY_CACTHighTechnology-IncubatorFacility_Drawing_19940622_1of2.pdf,Migration,Dwg-03 AsBuilt/Record
CTY_CACTHighTechnology-IncubatorFacility_DSAApproved_19940920.pdf,Migration,Dwg-02 Permit
CTY_CACTHighTechnology-IncubatorFacility_Drawing_19950213.pdf,Migration,Dwg-03 AsBuilt/Record
CTY_CACTHighTechnology-Incubator Facility-FireAlarmWiringDiagram_Submittal_19950225.pdf,Migration,Submittal/Shop Dwg
CTY_CACTHighTechnology-DoorFrames_Submittal_19950302.pdf,Migration,Submittal/Shop Dwg
CTY_Elevations-Sections_Drawing.pdf,Migration,Dwg-03 AsBuilt/Record
CTY_T113-ClassroomRenovation_AsBuilt_20020415.pdf,Migration,Dwg-03 AsBuilt/Record
CTY_ExteriorElevator_AsBuilt_19760303.pdf,Migration,Dwg-03 AsBuilt/Record
CTY_FanCoilUnitReplacement_Drawing_20011015.pdf,Migration,Dwg-03 AsBuilt/Record
CTY_FanCoilUnitReplacement_Record_20020808.pdf,Migration,Dwg-03 AsBuilt/Record
